业之峰装饰主材包预算清单,,,,,,,,,,,,,,,,
“是的，如果想装修满意又不超支，请让我为您做得更好！”,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
客户姓名,,联系电话,,,,套内建筑面积(㎡),65.79,居室结构,2,室1厅1厨,1,卫,设计风格,,,
工程地址,世华泊郡,,,,,,,优惠协议,首签优惠+预排雷服务,,,,,,,
设计师,刘春红,联系电话,13811795787,,,设计部门,西峰尚,家居顾问,,,,,联系电话,,,
序号,项目,,价格,,,,,,优惠,,,,活动,,,
,M3报价,,149209,,,,,,149209.00 ,,,,（3选1）置换换购券= 签约面积*40=（65.79*40）=2631.6元换购券、（2选1）1、新房预售=（65.79-50）*120=1894.8元换购券，超优惠送5000元换购券，合计9526.4元换购券。                                                                      首期预售款免单10%：免单额=《预售合同款》的首期款（20%-50%）* 10% =（首期款50%：74604.5）*10%=7460.45元                                                             额外追加2个点2985.18元、内购卡1个点1492.09元，合计11936.72元。            换购券+免单金额=9526.4+11936.72=21463.12元                     ,,,
,设计费,,6110,,,,,,6110.00 ,,,,,,,
,拆除墙体,,1076.33,,,,,,968.70 ,,,,,,,
,新建墙体,,9430.6,,,,,,8487.54 ,,,,,,,
,方钢过梁,,1154.25,,,,,,1038.83 ,,,,,,,
,地梁,,1183.32,,,,,,1064.99 ,,,,,,,
,平面吊顶,,1636.32,,,,,,1472.69 ,,,,,,,
,直线吊顶,,2622.93,,,,,,2360.64 ,,,,,,,
,水电点位增加,,8018,,,,,,7216.20 ,,,,,,,
,水电全改,,4013.19,,,,,,4013.19 ,,,,,,,
,,,,,,,,,,,,,,,,
,,,184453.94,,,,,,181941.78 ,,,,,,,
,减去优惠21463.12元,,,,,,,,21463.12 ,,,,,,,
,,,,,,,,,160478.66 ,,,,,,,
水电点位：90个,,,,,,,,,,,,,,,,
,需自购,,,,,,,,,,,,,,,
,窗户,,,,,,,,,,,,,,,
,暖气,,,,,,,,,,,,,,,
,防盗门,,,,,,,,,,,,,,,
,烟机、灶具,,,,,,,,,,,,,,,
,中央空调 ,,,,,,,,,,,,,,,
,电器,,,,,,,,,,,,,,,
,家具,,,,,,,,,,,,,,,
,智能设备,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
